prompt,category
Describe a marketplace that sells emotions in glass bottles.,creative_writing
Create a tale about a door that appears only when someone feels lost.,creative_writing
Write a scene where time briefly runs backward for everyone except one person.,creative_writing
Describe a world where memories can be traded like currency.,creative_writing
Tell a story about a lighthouse that signals messages from another dimension.,creative_writing
Define entropy in the context of thermodynamics.,factual
Describe how the CRISPR-Cas9 gene‑editing system works.,factual
Explain why the sky appears blue during the day.,factual
Summarize the major functions of the human liver.,factual
Describe the structure and purpose of the United Nations.,factual
Share your personal take on why humans enjoy storytelling.,opinion
State your view on whether routine helps or hinders creativity.,opinion
Give your opinion on what makes a city feel alive.,opinion
Reflect on how you feel about the balance between ambition and contentment.,opinion
Share your view on whether nostalgia is helpful or harmful.,opinion
Outline a step-by-step workflow for planning a weekly schedule.,step_by_step
Give a step-by-step recipe for making homemade pancakes.,step_by_step
Provide a step-by-step guide for resetting a forgotten password.,step_by_step
Write a step-by-step process for cleaning and maintaining a keyboard.,step_by_step
Explain the step-by-step instructions for installing a software update.,step_by_step
Explain how to choose the optimal route for a delivery driver facing road closures.,problem_solving
Describe how to troubleshoot a home Wi-Fi network with intermittent outages.,problem_solving
Suggest a plan to minimize downtime during a server migration.,problem_solving
Explain how to decide whether to repair or replace a malfunctioning appliance.,problem_solving
Propose a method to allocate a limited budget across competing priorities.,problem_solving
